id_interaccion,id_origen,tipo_origen,id_destino,tipo_destino,tipo_interaccion,valor_interaccion,interaccion_precedente,id_curso,fecha,plataforma
0,377,alumno,-1,null,publicacion,Et est earum quo delectus dolores quia molestiae aliquam dolorum veritatis eos expedita ut possimus porro assumenda ullam a eligendi.,-1,0,2006-10-20 15:57:21.56,crea
1,0,docente,377,alumno,comentario,Alias beatae officia pariatur praesentium voluptatem aperiam laborum nihil dolores et placeat incidunt et et ullam.,0,0,2006-10-31 19:29:44.683,facebook
2,252,alumno,0,docente,mencion,@architecto,1,0,2006-08-17 16:49:11.148,facebook
3,377,alumno,0,docente,reaccion,me_divierte,1,0,2006-08-27 09:11:06.004,facebook
4,0,docente,377,alumno,reaccion,me_enoja,3,0,2006-09-06 10:22:22.08,facebook
5,377,alumno,377,alumno,reaccion,me_entristece,0,0,2006-11-28 17:09:03.312,facebook
6,355,alumno,23,material,consulta,null,-1,0,2006-10-19 05:40:19.676,crea
7,138,alumno,377,alumno,mencion,@incidunt,5,0,2006-10-31 20:25:22.116,facebook
8,19,alumno,-1,null,publicacion,Deserunt consequatur quas labore animi et porro occaecati non qui consequuntur repellat autem vero ut est porro modi.,-1,0,2006-09-09 11:33:22.188,crea
9,202,alumno,0,docente,reaccion,me_divierte,1,0,2006-11-03 02:12:37.631,facebook
10,610,alumno,6,material,consulta,null,-1,0,2006-09-11 05:54:21.283,crea
11,559,alumno,377,alumno,mencion,@dolor,0,0,2006-11-13 14:18:52.045,facebook
12,424,alumno,19,alumno,comentario,Sit ut est quia sint fugit tenetur in voluptate ut quia corrupti quasi ut vitae ducimus.,8,0,2006-08-24 03:47:49.481,facebook
13,499,alumno,138,alumno,reaccion,me_enoja,7,0,2006-11-06 02:43:32.195,facebook
14,35,alumno,19,alumno,mencion,@quis,8,0,2006-09-02 04:30:28.668,facebook
15,79,alumno,424,alumno,mencion,@ea,12,0,2006-09-10 17:44:33.386,facebook
16,496,alumno,496,alumno,mensaje,Asperiores molestias distinctio quam ut in adipisci voluptatem quaerat ullam incidunt nemo consectetur deleniti non et expedita corrupti dicta.,-1,0,2006-11-09 09:52:43.97,crea
17,615,alumno,202,alumno,reaccion,me_gusta,9,0,2006-08-18 11:49:26.103,facebook
18,368,alumno,5,material,consulta,null,-1,0,2006-09-27 19:56:07.78,crea
19,168,alumno,377,alumno,comentario,Harum rerum quia est ipsum fugit accusamus repellendus et et quam quo esse dolores aliquid.,0,0,2006-09-20 14:44:14.569,crea
20,586,alumno,19,alumno,mencion,@natus,8,0,2006-09-30 20:26:34.366,facebook
21,424,alumno,559,alumno,mensaje,Molestiae consectetur placeat provident delectus impedit culpa voluptas sunt animi quaerat repellendus dolor nesciunt soluta adipisci non enim.,16,0,2006-11-09 07:02:36.685,crea
22,615,alumno,582,alumno,mensaje,Eos velit voluptas tenetur nemo dicta mollitia labore aut molestias voluptatibus excepturi enim iste perferendis itaque repellendus placeat.,21,0,2006-10-20 18:02:53.602,crea
23,499,alumno,9,material,consulta,null,-1,0,2006-08-16 05:17:19.44,crea
24,0,docente,19,alumno,comentario,Aliquid ut fugit eius sit autem ex omnis laborum minus assumenda.,8,0,2006-11-25 23:23:07.497,crea
25,120,alumno,10,material,consulta,null,-1,0,2006-08-30 05:54:42.516,crea
26,138,alumno,-1,null,publicacion,Laboriosam ullam officia quis et autem qui tempore ex consequatur harum quisquam a voluptatem nam consequuntur aliquid sapiente.,-1,0,2006-08-25 07:20:05.573,crea
27,19,alumno,0,docente,comentario,Non ducimus atque eum sequi quibusdam pariatur sunt voluptas sed aliquid cum unde dolores.,1,0,2006-10-10 04:40:15.044,facebook
28,138,alumno,377,alumno,reaccion,me_divierte,5,0,2006-11-01 09:21:27.057,facebook
29,615,alumno,-1,null,publicacion,Ut impedit odit eveniet exercitationem sunt totam dolorem ipsum est laborum velit et deserunt natus accusantium exercitationem cumque ex consequatur totam.,-1,0,2006-11-02 19:39:26.532,facebook
30,357,alumno,-1,null,publicacion,Rerum id iure quia voluptatibus est quis repudiandae ea eius quia qui explicabo quis natus quasi rerum.,-1,0,2006-10-14 13:02:42.727,facebook
31,0,docente,377,alumno,reaccion,me_entristece,0,0,2006-09-06 10:24:12.761,facebook
32,0,docente,615,alumno,mensaje,Officiis aut deleniti quasi qui et porro et ea quia rem ab sed consequuntur fuga qui suscipit quod et eum.,22,0,2006-09-07 16:21:08.752,crea
33,79,alumno,18,material,consulta,null,-1,0,2006-08-23 08:24:43.673,crea
34,0,docente,357,alumno,mencion,@et,30,0,2006-09-06 07:38:32.429,facebook
35,615,alumno,19,alumno,mencion,@ex,8,0,2006-09-25 01:01:59.557,facebook
36,138,alumno,19,alumno,reaccion,me_divierte,27,0,2006-08-17 15:30:22.51,facebook
37,120,alumno,615,alumno,mencion,@harum,29,0,2006-09-05 06:26:25.583,facebook
38,582,alumno,0,docente,reaccion,me_gusta,31,0,2006-11-12 23:44:23.472,facebook
39,424,alumno,168,alumno,mensaje,In est eos nobis voluptatem quo quam quod itaque asperiores nostrum veritatis voluptas debitis non ut iure officia.,16,0,2006-09-06 20:24:43.455,crea
40,79,alumno,424,alumno,mencion,@nihil,12,0,2006-11-15 10:12:02.851,facebook
41,0,docente,168,alumno,reaccion,me_entristece,19,0,2006-11-21 02:17:53.701,facebook
42,202,alumno,377,alumno,reaccion,me_entristece,0,0,2006-09-20 11:34:04.746,facebook
43,306,alumno,202,alumno,comentario,Ducimus sed ipsum ducimus laborum occaecati quaerat est qui vel velit ut nihil est fugiat velit.,42,0,2006-11-11 23:07:53.605,facebook
44,496,alumno,-1,null,publicacion,Aut dolorum mollitia vitae optio ex quae eos consequatur nesciunt rerum omnis recusandae consequuntur velit quia sed.,-1,0,2006-10-04 01:25:41.228,crea
45,0,docente,-1,null,publicacion,Blanditiis architecto fuga est delectus facere quidem soluta in quia enim consequatur omnis nisi facere maxime culpa.,-1,0,2006-09-11 08:20:49.006,facebook
46,79,alumno,79,alumno,reaccion,me_enoja,40,0,2006-08-16 22:38:37.626,facebook
47,499,alumno,23,material,consulta,null,-1,0,2006-08-23 21:39:52.894,facebook
48,559,alumno,-1,null,publicacion,Eum aspernatur corrupti sunt et expedita et laboriosam non voluptates molestias voluptates iste voluptas quasi laudantium autem voluptas ipsa dolorem.,-1,0,2006-10-25 01:09:44.127,crea
49,35,alumno,-1,null,publicacion,Rerum tenetur voluptatum temporibus earum velit facilis dolorum laborum sed veritatis molestiae non blanditiis ea.,-1,0,2006-08-19 13:08:14.433,facebook
50,371,alumno,0,docente,reaccion,me_gusta,24,0,2006-10-13 19:08:17.508,facebook
51,494,alumno,499,alumno,mensaje,Qui velit rerum aut ut blanditiis optio velit sunt sequi quas atque laboriosam sed ratione dignissimos.,32,0,2006-11-06 07:18:18.548,crea
52,559,alumno,586,alumno,mencion,@esse,20,0,2006-08-23 18:54:10.362,facebook
53,261,alumno,1,material,consulta,null,-1,0,2006-10-28 10:15:06.463,crea
54,35,alumno,2,material,consulta,null,-1,0,2006-11-26 22:48:48.217,facebook
55,261,alumno,35,alumno,comentario,Ad est rem voluptas magnam quae nesciunt et cupiditate omnis ut veritatis quia.,49,0,2006-11-07 12:24:03.082,facebook
56,499,alumno,-1,null,publicacion,Qui quidem inventore ea alias necessitatibus enim aliquam nemo natus officiis eveniet minima quos quo incidunt ut rerum id ut.,-1,0,2006-09-04 14:40:23.878,crea
57,44,alumno,377,alumno,reaccion,me_divierte,0,0,2006-10-15 22:31:14.241,facebook
58,252,alumno,0,docente,mencion,@officia,31,0,2006-10-11 00:39:22.361,facebook
59,494,alumno,494,alumno,mensaje,Rem impedit et blanditiis reprehenderit magnam minus distinctio consectetur debitis nostrum expedita perferendis doloremque exercitationem quo.,21,0,2006-08-25 15:51:20.643,crea
60,582,alumno,-1,null,publicacion,Aut saepe praesentium illum id sed rerum et corrupti deserunt corporis et occaecati et adipisci beatae.,-1,0,2006-11-18 12:47:04.588,crea
61,368,alumno,4,material,consulta,null,-1,0,2006-09-09 19:46:30.005,crea
